Car_Brand,Model,Engine_Type,Fuel_Efficiency,Braking_Performance,Emissions,Driving_Condition,Weather_Condition,Engine_Performance,Safety_Rating,Electric_Range,Driving_Comfort,Reliability
Mercedes,E-Class,Electric,25,65,143,Extreme Weather,Snowy,310,5,,9,1
Tesla,Model 3,Diesel,16,81,153,Off-Road,Rainy,341,4,305.0,6,2
Hyundai,Sonata,Petrol,24,59,161,Urban,Snowy,216,4,,7,3
Tesla,Model 3,Electric,17,74,173,Off-Road,Snowy,496,4,329.0,8,3
Hyundai,Sonata,Diesel,25,79,170,Extreme Weather,Rainy,473,5,,6,2
Ford,F-150,Electric,16,82,182,Heavy Traffic,Snowy,338,4,,6,3
Ford,F-150,Electric,17,87,182,Heavy Traffic,Rainy,373,4,,9,2
Ford,Mustang,Electric,18,80,206,Heavy Traffic,Clear,487,4,,9,1
Tesla,Model 3,Electric,22,56,153,Urban,Snowy,168,5,376.0,6,1
Tesla,Model S,Diesel,16,50,151,Urban,Snowy,369,5,340.0,9,1
Tesla,Model S,Diesel,18,79,183,Off-Road,Rainy,348,5,351.0,7,3
Ford,F-150,Diesel,35,68,119,Highway,Rainy,276,5,,9,3
Toyota,Corolla,Electric,22,54,154,Urban,Clear,490,4,,6,1
Ford,Mustang,Diesel,20,60,150,Extreme Weather,Snowy,485,5,,8,2
Toyota,Camry,Diesel,36,60,100,Highway,Clear,177,4,,9,1
Tesla,Model S,Petrol,24,61,160,Urban,Clear,348,4,360.0,9,3
Mercedes,E-Class,Electric,25,62,100,Highway,Clear,464,4,,7,3
Tesla,Model 3,Electric,14,86,164,Heavy Traffic,Snowy,329,4,382.0,8,2
BMW,3 Series,Petrol,16,65,152,Urban,Snowy,198,4,,6,1
Mercedes,E-Class,Electric,19,85,192,Heavy Traffic,Clear,159,5,,9,1
Ford,Mustang,Electric,11,89,159,Off-Road,Snowy,366,5,,9,3
BMW,3 Series,Petrol,30,64,101,Highway,Rainy,428,5,,6,3
Ford,Mustang,Petrol,19,67,139,Urban,Snowy,185,5,,7,2
Ford,Mustang,Electric,10,84,199,Off-Road,Rainy,387,5,,6,3
Mercedes,E-Class,Petrol,16,75,175,Off-Road,Rainy,150,5,,8,3
Hyundai,Sonata,Petrol,18,97,200,Heavy Traffic,Clear,296,4,,9,1
Tesla,Model S,Diesel,30,77,115,Highway,Snowy,279,4,319.0,9,3
Ford,F-150,Diesel,37,64,101,Highway,Clear,392,4,,9,2
Ford,Mustang,Electric,23,79,154,Extreme Weather,Rainy,202,4,,9,3
Tesla,Model 3,Petrol,29,61,145,Extreme Weather,Clear,499,5,342.0,6,2
Hyundai,Sonata,Diesel,38,64,138,Highway,Snowy,288,4,,8,1
Mercedes,E-Class,Petrol,20,74,143,Extreme Weather,Clear,488,5,,6,3
Ford,Mustang,Diesel,17,88,163,Heavy Traffic,Snowy,190,5,,7,3
Mercedes,GLE,Electric,16,87,204,Heavy Traffic,Clear,484,4,,9,1
Tesla,Model S,Electric,28,64,142,Extreme Weather,Rainy,498,5,324.0,6,3
BMW,X5,Petrol,18,99,174,Heavy Traffic,Snowy,175,4,,7,3
Toyota,Corolla,Electric,12,71,187,Off-Road,Snowy,236,5,,6,3
BMW,3 Series,Petrol,24,64,178,Extreme Weather,Rainy,292,4,,7,2
Tesla,Model S,Electric,18,80,194,Off-Road,Snowy,418,5,318.0,7,1
Mercedes,GLE,Electric,18,52,170,Urban,Snowy,245,5,,9,2
Mercedes,E-Class,Electric,13,97,177,Heavy Traffic,Snowy,206,5,,9,2
BMW,X5,Petrol,15,73,185,Off-Road,Snowy,409,4,,6,3
Toyota,Corolla,Diesel,20,79,156,Extreme Weather,Rainy,192,5,,9,2
Toyota,Camry,Diesel,37,67,100,Highway,Clear,170,5,,9,1
Ford,F-150,Petrol,18,69,165,Extreme Weather,Snowy,395,5,,6,2
Mercedes,E-Class,Petrol,14,87,201,Heavy Traffic,Rainy,245,5,,9,3
Hyundai,Kona EV,Diesel,22,56,140,Urban,Clear,318,5,,7,2
BMW,3 Series,Electric,12,92,180,Heavy Traffic,Rainy,469,4,,7,1
Mercedes,E-Class,Diesel,16,62,141,Extreme Weather,Snowy,328,5,,6,3
BMW,3 Series,Electric,16,77,181,Off-Road,Snowy,299,4,,7,1
Toyota,Corolla,Diesel,39,61,137,Highway,Clear,403,4,,9,3
Hyundai,Kona EV,Petrol,13,93,194,Heavy Traffic,Clear,197,5,,8,3
Hyundai,Sonata,Diesel,20,63,134,Urban,Rainy,449,5,,7,2
BMW,X5,Electric,18,58,134,Urban,Rainy,450,4,,9,2
Tesla,Model S,Diesel,17,70,159,Off-Road,Rainy,403,4,334.0,7,3
Tesla,Model 3,Diesel,15,84,163,Off-Road,Snowy,351,5,330.0,6,2
Toyota,Corolla,Petrol,10,81,164,Off-Road,Clear,495,4,,6,1
Mercedes,GLE,Diesel,23,62,132,Extreme Weather,Clear,239,4,,6,2
Tesla,Model 3,Electric,16,71,190,Off-Road,Snowy,424,4,359.0,8,2
Mercedes,E-Class,Diesel,14,86,165,Heavy Traffic,Snowy,438,4,,6,1
Ford,Mustang,Petrol,29,74,162,Extreme Weather,Clear,329,5,,8,1
BMW,X5,Petrol,13,87,193,Heavy Traffic,Rainy,406,5,,9,3
Mercedes,E-Class,Electric,15,99,160,Heavy Traffic,Snowy,284,5,,8,2
Toyota,Corolla,Electric,15,75,192,Off-Road,Clear,395,4,,6,2
Mercedes,GLE,Electric,39,79,122,Highway,Rainy,345,5,,6,1
Toyota,Corolla,Petrol,11,71,155,Off-Road,Snowy,198,4,,6,2
Toyota,Corolla,Diesel,10,82,192,Off-Road,Rainy,176,5,,9,3
Toyota,Corolla,Petrol,19,55,178,Urban,Clear,203,5,,7,1
Ford,F-150,Electric,27,64,132,Extreme Weather,Clear,441,5,,6,2
BMW,X5,Electric,15,85,166,Off-Road,Rainy,259,4,,9,1
BMW,3 Series,Petrol,26,79,105,Highway,Rainy,345,5,,7,3
Tesla,Model 3,Electric,19,91,162,Heavy Traffic,Snowy,305,5,377.0,7,3
Mercedes,GLE,Petrol,39,78,108,Highway,Clear,345,5,,8,1
Toyota,Corolla,Electric,13,91,207,Heavy Traffic,Snowy,179,5,,8,3
BMW,X5,Petrol,15,75,164,Off-Road,Snowy,348,5,,7,3
Ford,Mustang,Petrol,16,98,186,Heavy Traffic,Clear,189,4,,9,1
Tesla,Model S,Electric,16,83,176,Off-Road,Snowy,222,5,396.0,6,2
Mercedes,E-Class,Diesel,29,61,179,Extreme Weather,Clear,485,4,,9,2
Toyota,Corolla,Electric,16,76,139,Extreme Weather,Clear,158,5,,7,2
Toyota,Corolla,Petrol,16,55,167,Urban,Rainy,369,5,,7,2
BMW,X5,Petrol,19,64,144,Extreme Weather,Rainy,492,4,,8,2
BMW,X5,Petrol,19,89,185,Heavy Traffic,Clear,469,4,,7,1
Ford,Mustang,Diesel,38,62,126,Highway,Clear,209,5,,8,3
Hyundai,Sonata,Diesel,16,84,173,Heavy Traffic,Snowy,202,4,,7,3
Tesla,Model 3,Electric,25,79,153,Extreme Weather,Snowy,294,5,345.0,9,3
BMW,3 Series,Petrol,17,74,193,Off-Road,Rainy,369,5,,8,1
Hyundai,Kona EV,Diesel,17,61,174,Extreme Weather,Clear,226,4,,8,1
Hyundai,Kona EV,Electric,14,86,185,Heavy Traffic,Clear,228,4,,6,2
BMW,3 Series,Diesel,19,57,135,Urban,Snowy,245,5,,7,2
Hyundai,Sonata,Diesel,16,84,198,Off-Road,Rainy,406,5,,7,1
BMW,X5,Diesel,17,80,180,Heavy Traffic,Rainy,398,4,,8,1
Ford,F-150,Petrol,20,67,154,Extreme Weather,Snowy,420,4,,8,2
Toyota,Corolla,Petrol,24,73,156,Extreme Weather,Snowy,395,4,,7,3
BMW,X5,Electric,32,69,103,Highway,Snowy,313,5,,7,1
Ford,F-150,Electric,22,75,132,Extreme Weather,Rainy,480,5,,7,1
Mercedes,E-Class,Electric,27,71,150,Extreme Weather,Rainy,190,5,,7,3
Hyundai,Sonata,Electric,28,69,147,Extreme Weather,Clear,256,5,,7,2
Hyundai,Sonata,Petrol,24,61,152,Extreme Weather,Rainy,470,5,,7,1
Hyundai,Sonata,Electric,21,66,154,Urban,Clear,261,5,,9,2
Toyota,Camry,Petrol,17,77,154,Off-Road,Clear,225,5,,6,3
Ford,Mustang,Electric,29,67,102,Highway,Rainy,175,5,,9,3
Tesla,Model 3,Diesel,17,95,185,Heavy Traffic,Clear,340,5,335.0,9,1
Mercedes,GLE,Petrol,17,86,198,Off-Road,Snowy,493,4,,9,2
Ford,Mustang,Diesel,38,67,106,Highway,Snowy,353,4,,8,2
Hyundai,Kona EV,Petrol,17,82,209,Heavy Traffic,Snowy,242,4,,7,2
BMW,3 Series,Petrol,25,62,174,Extreme Weather,Clear,338,4,,7,1
Mercedes,E-Class,Petrol,13,99,174,Heavy Traffic,Rainy,198,4,,6,2
Hyundai,Sonata,Petrol,10,70,163,Off-Road,Snowy,498,4,,8,2
Ford,F-150,Electric,28,63,139,Extreme Weather,Clear,317,5,,8,3
Ford,F-150,Diesel,33,74,116,Highway,Snowy,380,4,,7,3
BMW,X5,Petrol,19,87,189,Heavy Traffic,Rainy,311,4,,6,3
Hyundai,Kona EV,Diesel,19,90,204,Heavy Traffic,Snowy,477,5,,6,1
Hyundai,Sonata,Petrol,16,75,178,Extreme Weather,Rainy,237,5,,8,1
Hyundai,Kona EV,Diesel,34,65,105,Highway,Snowy,201,5,,9,1
Tesla,Model 3,Electric,24,51,147,Urban,Clear,255,5,317.0,7,3
Mercedes,E-Class,Diesel,17,84,194,Heavy Traffic,Clear,424,5,,6,1
Hyundai,Kona EV,Electric,22,62,124,Urban,Clear,370,4,,7,1
BMW,3 Series,Petrol,18,75,196,Off-Road,Snowy,321,5,,7,1
BMW,X5,Diesel,27,62,136,Highway,Clear,358,5,,6,1
Toyota,Corolla,Electric,31,78,129,Highway,Snowy,204,4,,6,2
Toyota,Corolla,Diesel,20,67,153,Urban,Rainy,329,5,,8,2
Toyota,Camry,Petrol,22,69,139,Extreme Weather,Clear,391,4,,6,3
BMW,3 Series,Diesel,11,89,155,Off-Road,Rainy,458,4,,7,2
Toyota,Corolla,Petrol,32,76,116,Highway,Rainy,377,4,,9,3
Toyota,Corolla,Petrol,10,71,189,Off-Road,Rainy,410,5,,8,2
Toyota,Camry,Diesel,13,77,157,Off-Road,Snowy,364,4,,8,3
Hyundai,Kona EV,Electric,26,65,179,Extreme Weather,Snowy,414,4,,7,3
Ford,F-150,Diesel,20,62,164,Extreme Weather,Snowy,488,5,,6,2
Hyundai,Kona EV,Electric,22,68,176,Extreme Weather,Rainy,237,5,,7,3
Tesla,Model 3,Petrol,38,65,112,Highway,Clear,270,4,383.0,6,2
Hyundai,Kona EV,Electric,14,80,181,Heavy Traffic,Snowy,391,5,,9,3
Ford,Mustang,Petrol,37,67,148,Highway,Clear,460,5,,9,2
Ford,F-150,Diesel,20,66,167,Urban,Rainy,324,4,,7,2
Mercedes,E-Class,Electric,27,75,150,Extreme Weather,Clear,153,5,,7,2
Ford,F-150,Diesel,16,65,167,Urban,Clear,191,5,,8,1
Mercedes,GLE,Diesel,17,65,132,Extreme Weather,Rainy,400,5,,8,2
Mercedes,E-Class,Petrol,10,70,194,Off-Road,Rainy,271,5,,9,1
Ford,Mustang,Electric,14,88,197,Heavy Traffic,Rainy,317,5,,6,2
Mercedes,E-Class,Electric,28,77,113,Highway,Clear,307,4,,6,3
Mercedes,GLE,Diesel,23,69,124,Urban,Snowy,284,4,,9,3
Tesla,Model 3,Diesel,15,97,161,Heavy Traffic,Clear,361,4,376.0,9,1
Ford,Mustang,Electric,16,83,161,Heavy Traffic,Snowy,423,5,,9,2
Toyota,Corolla,Diesel,37,64,148,Highway,Rainy,213,4,,7,2
Hyundai,Sonata,Electric,25,72,177,Extreme Weather,Clear,469,5,,7,2
Hyundai,Kona EV,Diesel,17,58,129,Urban,Clear,199,4,,8,1
BMW,X5,Electric,15,71,163,Extreme Weather,Snowy,452,5,,8,2
Toyota,Camry,Petrol,17,83,164,Heavy Traffic,Rainy,246,5,,6,2
Ford,F-150,Petrol,14,84,185,Heavy Traffic,Snowy,318,5,,6,3
BMW,X5,Electric,28,77,109,Highway,Snowy,290,4,,7,2
Hyundai,Sonata,Diesel,32,74,112,Highway,Rainy,285,5,,6,2
Toyota,Corolla,Electric,15,78,194,Off-Road,Rainy,184,4,,7,1
Toyota,Camry,Electric,17,94,201,Heavy Traffic,Rainy,193,4,,8,3
Mercedes,E-Class,Electric,30,70,131,Highway,Snowy,381,4,,6,3
Mercedes,GLE,Diesel,14,84,173,Off-Road,Snowy,166,4,,7,1
BMW,3 Series,Petrol,18,76,159,Off-Road,Clear,429,5,,6,1
BMW,3 Series,Diesel,26,62,145,Highway,Rainy,221,5,,9,3
Hyundai,Kona EV,Electric,12,88,158,Off-Road,Clear,220,4,,6,2
Toyota,Corolla,Electric,15,61,125,Urban,Clear,231,4,,6,3
Ford,Mustang,Diesel,18,51,165,Urban,Snowy,215,4,,7,3
BMW,3 Series,Diesel,35,72,119,Highway,Snowy,371,5,,8,3
Tesla,Model S,Diesel,27,69,137,Highway,Snowy,325,4,372.0,8,3
BMW,X5,Diesel,26,72,154,Extreme Weather,Snowy,377,5,,9,3
Mercedes,E-Class,Diesel,13,90,206,Heavy Traffic,Clear,426,4,,8,2
Toyota,Camry,Petrol,27,60,129,Highway,Rainy,329,5,,9,3
Tesla,Model 3,Petrol,17,74,166,Off-Road,Rainy,241,4,396.0,8,2
Tesla,Model S,Electric,14,89,179,Heavy Traffic,Clear,490,4,385.0,6,2
Toyota,Camry,Electric,25,71,145,Extreme Weather,Rainy,328,5,,8,3
BMW,X5,Electric,22,62,131,Extreme Weather,Snowy,401,4,,9,1
Hyundai,Kona EV,Petrol,28,77,131,Extreme Weather,Rainy,470,4,,7,1
Tesla,Model S,Diesel,28,71,159,Extreme Weather,Snowy,492,5,340.0,9,2
Tesla,Model S,Petrol,25,69,158,Extreme Weather,Clear,443,5,307.0,6,2
Tesla,Model S,Electric,19,52,121,Urban,Snowy,440,5,358.0,9,1
Tesla,Model 3,Electric,15,80,179,Heavy Traffic,Clear,326,5,359.0,9,2
Toyota,Corolla,Diesel,13,76,156,Off-Road,Rainy,467,4,,9,3
Toyota,Corolla,Diesel,19,94,183,Heavy Traffic,Snowy,345,4,,6,3
Tesla,Model 3,Diesel,14,92,174,Heavy Traffic,Clear,219,4,314.0,8,2
Ford,Mustang,Diesel,10,83,173,Off-Road,Rainy,177,4,,9,1
Toyota,Corolla,Petrol,24,65,142,Urban,Clear,432,5,,8,3
Hyundai,Sonata,Electric,24,69,139,Extreme Weather,Rainy,336,4,,7,2
Toyota,Corolla,Diesel,17,86,166,Heavy Traffic,Clear,286,5,,7,1
BMW,3 Series,Electric,36,72,113,Highway,Rainy,158,5,,7,2
Toyota,Camry,Petrol,31,77,112,Highway,Snowy,282,4,,8,2
Ford,F-150,Electric,15,64,165,Urban,Clear,483,4,,7,3
Hyundai,Kona EV,Electric,19,64,134,Urban,Clear,457,5,,6,1
Tesla,Model 3,Electric,39,68,146,Highway,Snowy,253,4,315.0,8,2
BMW,3 Series,Electric,12,85,167,Heavy Traffic,Clear,400,5,,9,2
Ford,Mustang,Petrol,29,75,144,Highway,Clear,249,5,,7,3
Hyundai,Kona EV,Electric,17,52,136,Urban,Clear,319,5,,7,3
Hyundai,Kona EV,Diesel,26,64,112,Highway,Snowy,348,4,,8,2
BMW,3 Series,Diesel,13,81,207,Heavy Traffic,Snowy,379,5,,8,2
Ford,Mustang,Petrol,17,75,168,Extreme Weather,Clear,420,5,,6,3
Toyota,Camry,Petrol,22,59,125,Urban,Clear,180,5,,9,2
BMW,X5,Electric,12,83,209,Heavy Traffic,Clear,383,5,,9,1
Tesla,Model 3,Diesel,19,99,176,Heavy Traffic,Clear,439,5,398.0,7,2
Ford,Mustang,Electric,21,54,146,Urban,Clear,490,5,,6,2
BMW,X5,Diesel,16,75,144,Extreme Weather,Clear,418,4,,9,2
Ford,Mustang,Electric,29,75,114,Highway,Snowy,417,4,,6,2
Hyundai,Sonata,Diesel,17,89,167,Heavy Traffic,Snowy,325,5,,7,3
Toyota,Camry,Petrol,27,72,117,Highway,Rainy,452,4,,7,1
BMW,X5,Petrol,38,62,127,Highway,Snowy,403,5,,6,3
Toyota,Camry,Electric,24,65,146,Urban,Clear,237,5,,8,3
Toyota,Camry,Electric,14,77,170,Off-Road,Snowy,261,4,,8,1
Mercedes,E-Class,Diesel,18,78,182,Off-Road,Rainy,438,4,,8,2
BMW,X5,Electric,14,79,189,Off-Road,Snowy,370,5,,7,2
BMW,3 Series,Electric,15,77,164,Off-Road,Clear,354,5,,7,2
Tesla,Model S,Electric,14,90,199,Heavy Traffic,Clear,363,5,359.0,8,2
Mercedes,GLE,Petrol,20,68,139,Extreme Weather,Clear,361,4,,7,2
Toyota,Camry,Diesel,13,71,165,Off-Road,Clear,152,5,,8,2
Toyota,Camry,Diesel,13,84,183,Heavy Traffic,Snowy,370,4,,7,3
Toyota,Camry,Electric,12,70,176,Off-Road,Rainy,322,5,,9,1
Toyota,Corolla,Petrol,28,75,160,Extreme Weather,Clear,389,4,,8,2
Ford,F-150,Diesel,29,75,130,Highway,Rainy,442,4,,9,3
Hyundai,Kona EV,Petrol,16,55,160,Urban,Snowy,252,4,,8,3
BMW,3 Series,Diesel,19,51,130,Urban,Rainy,150,5,,7,1
Hyundai,Sonata,Petrol,28,76,115,Highway,Snowy,384,5,,8,3
Mercedes,E-Class,Electric,17,88,178,Heavy Traffic,Clear,446,5,,6,2
Tesla,Model S,Electric,24,67,141,Extreme Weather,Clear,309,5,373.0,9,3
Hyundai,Sonata,Diesel,13,82,181,Heavy Traffic,Clear,295,5,,8,2
Hyundai,Sonata,Diesel,24,68,143,Urban,Clear,362,4,,9,3
Toyota,Corolla,Electric,17,83,150,Off-Road,Snowy,226,5,,6,2
BMW,X5,Electric,11,79,157,Off-Road,Clear,417,4,,7,2
Tesla,Model S,Petrol,32,60,113,Highway,Snowy,276,4,386.0,8,1
BMW,X5,Diesel,37,74,141,Highway,Clear,278,5,,7,1
Toyota,Corolla,Electric,17,71,195,Off-Road,Snowy,251,5,,6,1
Tesla,Model 3,Diesel,27,69,152,Extreme Weather,Rainy,262,4,366.0,9,1
Tesla,Model S,Diesel,24,65,120,Urban,Snowy,350,4,368.0,8,2
Ford,F-150,Electric,24,58,122,Urban,Clear,153,5,,7,1
Mercedes,GLE,Petrol,22,62,152,Urban,Clear,182,5,,8,2
Hyundai,Sonata,Petrol,12,96,209,Heavy Traffic,Rainy,284,4,,7,2
Tesla,Model 3,Electric,13,90,200,Heavy Traffic,Snowy,460,4,364.0,7,1
Ford,F-150,Petrol,12,94,168,Heavy Traffic,Rainy,360,4,,9,2
Tesla,Model 3,Petrol,36,65,128,Highway,Rainy,226,4,316.0,7,1
BMW,3 Series,Petrol,21,65,159,Urban,Rainy,195,5,,8,1
Toyota,Camry,Electric,37,75,101,Highway,Rainy,345,4,,9,2
BMW,3 Series,Petrol,14,89,202,Heavy Traffic,Rainy,296,4,,6,3
BMW,3 Series,Diesel,17,62,173,Urban,Rainy,479,5,,8,1
Ford,F-150,Diesel,12,74,196,Off-Road,Snowy,249,5,,9,3
Toyota,Corolla,Diesel,15,96,181,Heavy Traffic,Clear,355,4,,6,2
Mercedes,GLE,Electric,20,63,147,Extreme Weather,Snowy,431,5,,8,1
Hyundai,Kona EV,Electric,14,84,175,Off-Road,Snowy,205,5,,9,3
Toyota,Corolla,Diesel,31,63,109,Highway,Clear,222,5,,8,3
Ford,F-150,Petrol,13,71,166,Off-Road,Clear,295,5,,7,3
Tesla,Model S,Electric,32,64,111,Highway,Clear,204,4,372.0,9,2
Mercedes,E-Class,Diesel,12,99,163,Heavy Traffic,Snowy,448,4,,7,1
Ford,Mustang,Electric,22,66,165,Extreme Weather,Snowy,425,5,,9,3
Toyota,Camry,Petrol,38,62,142,Highway,Snowy,353,5,,9,2
Hyundai,Sonata,Diesel,18,96,171,Heavy Traffic,Snowy,403,4,,8,3
Hyundai,Kona EV,Electric,38,78,112,Highway,Snowy,462,4,,8,2
BMW,3 Series,Petrol,20,63,122,Urban,Snowy,360,4,,6,3
Toyota,Corolla,Electric,15,62,143,Extreme Weather,Snowy,336,5,,6,3
Ford,Mustang,Electric,20,55,175,Urban,Clear,432,5,,6,3
Mercedes,GLE,Electric,24,53,129,Urban,Snowy,336,4,,7,1
BMW,X5,Petrol,26,68,164,Extreme Weather,Rainy,349,5,,9,2
Tesla,Model 3,Diesel,36,62,124,Highway,Clear,353,5,339.0,9,2
Ford,Mustang,Electric,18,87,182,Heavy Traffic,Clear,389,5,,7,1
Tesla,Model S,Electric,12,86,181,Off-Road,Clear,303,5,321.0,6,1
Toyota,Corolla,Electric,28,74,172,Extreme Weather,Snowy,397,4,,6,1
Toyota,Corolla,Electric,13,94,176,Heavy Traffic,Rainy,290,5,,6,3
Hyundai,Sonata,Petrol,38,78,147,Highway,Clear,479,5,,6,3
Ford,Mustang,Electric,14,97,175,Heavy Traffic,Snowy,279,5,,6,1
Hyundai,Kona EV,Electric,23,54,128,Urban,Snowy,197,4,,7,3
Hyundai,Kona EV,Electric,19,82,195,Off-Road,Rainy,330,4,,6,3
Hyundai,Kona EV,Diesel,22,67,140,Urban,Clear,270,5,,8,3
Hyundai,Sonata,Petrol,22,64,133,Urban,Rainy,204,4,,8,3
BMW,3 Series,Diesel,26,63,146,Highway,Rainy,466,4,,9,3
Hyundai,Kona EV,Electric,17,70,184,Off-Road,Snowy,474,4,,9,1
Ford,F-150,Electric,15,65,155,Urban,Snowy,383,4,,8,1
Tesla,Model S,Petrol,21,64,161,Extreme Weather,Clear,256,4,337.0,7,2
Ford,F-150,Petrol,13,74,158,Off-Road,Snowy,198,5,,8,3
Ford,Mustang,Electric,23,66,149,Urban,Snowy,446,5,,7,3
BMW,X5,Petrol,27,62,173,Extreme Weather,Clear,189,5,,9,3
BMW,X5,Diesel,15,51,125,Urban,Rainy,271,5,,6,3
Toyota,Corolla,Electric,29,71,170,Extreme Weather,Rainy,178,5,,6,1
Toyota,Corolla,Electric,30,78,109,Highway,Clear,284,5,,6,2
Mercedes,GLE,Diesel,31,71,127,Highway,Clear,210,5,,7,1
Hyundai,Sonata,Electric,17,73,159,Extreme Weather,Snowy,254,4,,8,3
Tesla,Model 3,Diesel,13,87,162,Off-Road,Clear,319,5,353.0,6,3
Tesla,Model 3,Diesel,15,55,146,Urban,Clear,300,5,394.0,9,1
Mercedes,E-Class,Diesel,16,67,163,Extreme Weather,Rainy,222,5,,7,1
Tesla,Model 3,Diesel,18,94,196,Heavy Traffic,Clear,171,4,356.0,8,3
BMW,3 Series,Electric,17,61,174,Extreme Weather,Rainy,455,4,,8,1
BMW,3 Series,Electric,13,97,206,Heavy Traffic,Clear,329,5,,8,1
Toyota,Corolla,Diesel,23,63,156,Urban,Clear,189,5,,7,2
Tesla,Model S,Diesel,19,68,149,Urban,Clear,453,4,315.0,9,3
Mercedes,E-Class,Petrol,23,57,120,Urban,Snowy,467,5,,8,3
Tesla,Model S,Electric,20,58,169,Urban,Clear,329,4,367.0,7,1
Tesla,Model 3,Petrol,17,84,170,Heavy Traffic,Clear,193,4,352.0,6,2
Tesla,Model S,Electric,25,70,150,Extreme Weather,Rainy,393,5,306.0,6,2
Toyota,Corolla,Petrol,13,88,172,Heavy Traffic,Clear,186,4,,6,1
Hyundai,Sonata,Petrol,29,63,145,Highway,Snowy,219,4,,9,3
Ford,F-150,Diesel,24,59,169,Urban,Snowy,193,4,,7,3
Toyota,Camry,Diesel,18,94,200,Heavy Traffic,Rainy,469,4,,9,2
BMW,X5,Diesel,20,50,165,Urban,Clear,337,4,,9,1
BMW,3 Series,Diesel,16,67,132,Urban,Clear,288,5,,7,1
BMW,X5,Electric,19,75,199,Off-Road,Rainy,281,5,,6,2
BMW,X5,Electric,17,89,199,Off-Road,Snowy,470,5,,9,2
Toyota,Camry,Diesel,15,65,142,Urban,Clear,347,4,,8,3
Hyundai,Sonata,Petrol,39,71,112,Highway,Clear,477,4,,7,1
Tesla,Model 3,Petrol,16,91,161,Heavy Traffic,Snowy,339,5,358.0,9,1
Toyota,Camry,Electric,21,72,150,Extreme Weather,Snowy,331,4,,9,1
Ford,Mustang,Petrol,10,71,197,Off-Road,Rainy,363,4,,7,1
Ford,F-150,Electric,12,91,199,Heavy Traffic,Snowy,442,4,,9,3
BMW,X5,Diesel,23,60,164,Extreme Weather,Rainy,193,4,,6,3
Ford,Mustang,Petrol,13,75,168,Off-Road,Clear,180,4,,7,2
Toyota,Corolla,Electric,37,74,101,Highway,Rainy,329,4,,6,3
Ford,F-150,Electric,25,70,123,Highway,Rainy,351,4,,7,3
Tesla,Model 3,Electric,22,61,168,Extreme Weather,Snowy,328,4,318.0,7,3
Mercedes,GLE,Electric,18,97,205,Heavy Traffic,Snowy,373,4,,7,2
Hyundai,Sonata,Diesel,12,99,208,Heavy Traffic,Clear,352,4,,9,3
Hyundai,Sonata,Petrol,14,87,188,Heavy Traffic,Clear,351,4,,9,2
Toyota,Camry,Petrol,17,74,178,Off-Road,Rainy,197,4,,7,2
Mercedes,GLE,Petrol,12,89,182,Heavy Traffic,Rainy,243,4,,6,2
Mercedes,E-Class,Diesel,31,66,145,Highway,Clear,218,4,,9,3
Ford,Mustang,Electric,33,72,115,Highway,Clear,426,4,,7,3
Mercedes,GLE,Electric,17,77,158,Off-Road,Snowy,307,4,,6,3
BMW,3 Series,Diesel,12,84,182,Heavy Traffic,Rainy,482,5,,6,1
