marka,motor_kodu,uretim_yillari,hacim_cc,guc_hp,tork_nm,yakit_tipi,silindir_konf,silindir_sayisi,blok_malzemesi,turbo,kompresyon_orani,tavsiye_edilen_yag,yag_kapasitesi_l,motor_omru_km,agirlik_kg,euro_standardi
BMW,S50B30,1992-1995,2990.0,,,Benzin,,,,Bilinmiyor,,5w-30 / 5w-40 / 5w-50 / 10w-40 / 15w-40,7.0,400000.0,,euro 1
BMW,S50B32,1995-2000,3201.0,,,Benzin,,,,Bilinmiyor,11.3,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40/ 15w-40,5.5,400000.0,154.0,euro 2
BMW,N52B30,2004-2011,2996.0,245.0,292.5,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),10.7,5w-30,6.5,275000.0,,euro 4/5
BMW,M52B20 / M52TUB20,1994-2001 munich plant,1991.0,150.0,190.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,6.5,350000.0,,
BMW,S62B50,1998-2003,4941.0,400.0,,Benzin,,,,Bilinmiyor,11.0,10w-60,6.5,250000.0,,euro 2
BMW,M42B18,1989-1996,1796.0,140.0,175.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.0,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40,5.0,300000.0,,euro 2
BMW,S63B44,2009,4395.0,,,Benzin,,,,Bilinmiyor,,,8.5,,229.0,
BMW,S65B40,2007-2013,3999.0,420.0,,Benzin,,,,Bilinmiyor,12.0,10w-60,8.8,200000.0,202.0,euro 4
BMW,S85B50,2005-2010,4999.0,507.0,,Benzin,,,,Bilinmiyor,12.0,10w-60,9.3,200000.0,240.0,euro 4
BMW,M43B16,1993-2002 steyr plant,1596.0,102.0,150.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.7,5w-30,4.0,300000.0,,euro 2/3
BMW,M43B18,1992-2001 steyr plant,1796.0,115.0,168.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.7,5w-30,4.0,320000.0,133.0,euro 2/3
BMW,M43B19 / M43TU,1998-2002 steyr plant,1895.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.7,5w-30,4.0,350000.0,138.0,euro 2/3
BMW,M20B20,1977-1992,1991.0,,,,,,,Bilinmiyor,,5w-30 / 5w-40 / 10w-30 / 10w-40 / 10w-50 / 15w-50,4.25,300000.0,,
BMW,M50B25 / M50B25TU,1990-1996 munich plant,2494.0,192.0,245.0,Benzin,Sıra (Inline),6.0,Dökme Demir,Hayır (Atmosferik),,5w-30,5.75,400000.0,,
BMW,M52B25 / M52TUB25,1995-2001 munich plant,2494.0,170.0,245.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,6.5,350000.0,,
BMW,M20B25,1986-1993,2494.0,,,,,,,Bilinmiyor,,5w-30 / 5w-40 / 10w-30 / 10w-40 / 10w-50 / 15w-40 / 15w-50,4.75,300000.0,,
BMW,M60B30,1992-1996,2997.0,218.0,290.0,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,7.5,300000.0,,euro 1
BMW,M52B28 / M52TUB28,1995-2001 munich plant,2793.0,193.0,280.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),10.2,5w-30,6.5,350000.0,,
BMW,S38B36,1988-1996,3535.0,316.0,,Benzin,,,,Bilinmiyor,10.0,5w-30 / 5w-40 / 10w-40 / 15w-40,5.75,400000.0,,
BMW,M30B30,1971-1994,2986.0,184.0,,Benzin,,,,Bilinmiyor,9.0,5w-30 / 5w-40 / 10w-40/ 15w-40,5.75,400000.0,,
BMW,M30B35 / M30B34,1982-1992,3430.0,,,Benzin,,,,Bilinmiyor,,5w-30 / 5w-40 / 10w-40/ 15w-40,5.75,400000.0,,
BMW,M40B16,1988-1994 steyr plant,1596.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,4.0,275000.0,,euro 1
BMW,M40B18,1987-1994 steyr plant,1795.0,113.0,162.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),8.8,5w-30,4.0,300000.0,,euro 1
BMW,M54B22,2001-2006 munich plant,2171.0,170.0,210.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),10.7,5w-30,6.5,300000.0,,euro 3/4
BMW,M54B25,2000-2006 munich plant,2494.0,192.0,245.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,6.5,320000.0,,euro 3/4
BMW,M60B40,1992-1998,3982.0,286.0,400.0,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,7.5,350000.0,,euro 1
BMW,M62B35,1996-2003,3498.0,,,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,7.5,320000.0,,euro 2/3
BMW,M62B44,1996-2005,4398.0,,,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,7.5,330000.0,,euro 2/3
BMW,N13B16,2011-2016,1598.0,,,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,10.5,5w-30,4.25,250000.0,,euro 5/6
BMW,N20B20,2011-2018,1997.0,,,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,10.0,5w-30,5.0,220000.0,,euro 5/6
BMW,N42B20,2001-2004,1995.0,143.0,200.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,4.25,275000.0,120.0,euro 3
BMW,N62B44,2001-2006,4398.0,,,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),,5w-30,8.0,320000.0,213.0,euro 3/4
BMW,N62B48,,4799.0,,,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),,5w-30,8.0,3500000.0,,euro 3/4
BMW,N63B44,since 2008,4395.0,,,Benzin,V,8.0,Alüminyum,Bilinmiyor,,5w-30,8.5,250000.0,,
BMW,S52B32,1995-2000,3152.0,240.0,,Benzin,,,,Bilinmiyor,10.5,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-40,5.5,400000.0,141.0,euro 2
BMW,S54B32,2000-2011,3246.0,,,Benzin,,,,Bilinmiyor,11.5,10w-60,6.5,400000.0,149.0,euro 3
BMW,M62B46,2001-2003,4619.0,347.0,480.0,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,7.5,350000.0,208.0,euro 3
Jeep,EJH,2011-,1598.0,110.0,152.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.6,250000.0,,euro 5
Jeep,ERH,1986-2006,3964.0,185.0,310.0,Benzin,Sıra (Inline),6.0,Dökme Demir,Hayır (Atmosferik),8.6,5w-30,5.7,450000.0,,euro 2/3
Jeep,EPE,1983-1985,2464.0,105.0,179.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.2,5w-30,3.8,300000.0,,euro 0
Jeep,EML,1992-2003,5899.0,240.0,455.0,Benzin,V,8.0,Dökme Demir,Hayır (Atmosferik),8.7,5w-30,,400000.0,,euro 2
Jeep,ELF,1992-2002,5210.0,220.0,395.0,Benzin,V,8.0,Dökme Demir,Hayır (Atmosferik),9.1,5w-30,4.7,450000.0,,euro 2
Jeep,EVE,2008-2013,4701.0,305.0,450.0,Benzin,V,8.0,Dökme Demir,Hayır (Atmosferik),9.8,5w-30,5.7,250000.0,,euro 4
Jeep,EVC,2002-2008,4701.0,260.0,435.0,Benzin,V,8.0,Dökme Demir,Hayır (Atmosferik),9.7,5w-30,5.7,300000.0,,euro 3/4
Jeep,EVA,1998-2013,4701.0,232.5,400.0,Benzin,V,8.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,5.7,350000.0,,euro 3/4
Jeep,EKG,2001-2012,3701.0,207.5,312.5,Benzin,V,6.0,Dökme Demir,Hayır (Atmosferik),9.7,5w-30,4.7,300000.0,,euro 3/4
Jeep,EXL,2005-2010,2987.0,218.0,510.0,Dizel,V,6.0,Dökme Demir,Evet,18.0,5w-30,8.5,320000.0,,euro 4/5
Jeep,ENF,2002-2005,2685.0,163.0,400.0,Dizel,Sıra (Inline),5.0,Dökme Demir,Evet,18.0,5w-30,7.5,350000.0,,euro 3/4
Jeep,ENE,2010-2015,2143.0,149.5,320.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,16.2,5w-30,6.5,300000.0,,euro 5
Chrysler,EDJ,2002-2009,2148.0,135.5,300.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,18.0,5w-30,6.7,275000.0,,euro 3/4
Dodge,ECE,2006-2011,1968.0,140.0,310.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,18.0,5w-30,4.3,280000.0,,euro 4
Chrysler,ECD,2006-2011,1968.0,140.0,310.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,18.0,5w-30,4.3,300000.0,,euro 3
Jeep,EXA,1999-2001,3125.0,140.0,385.0,Dizel,Sıra (Inline),5.0,Dökme Demir,Evet,21.0,5w-30,7.8,300000.0,,euro 1
Jeep,EXF,2010-,2987.0,220.0,505.0,Dizel,V,6.0,Dökme Demir,Evet,16.5,5w-30,7.7,300000.0,,euro 5/6
Chrysler,ENR,2000-2007,2766.0,156.5,380.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,17.5,5w-30,6.5,320000.0,,euro 3
Jeep,ENS,2006-2018,2766.0,180.0,410.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,17.5,5w-30,6.5,300000.0,,euro 4/5
Chrysler,EGF,2006-2010,3518.0,235.0,325.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.1,5w-30,5.2,350000.0,,euro 3
Chrysler,ESF,2005-2010,6059.0,425.0,570.0,Benzin,,,,Hayır (Atmosferik),10.3,5w-30,6.7,350000.0,,euro 3
Chrysler,EGG,1998-2010,3518.0,250.0,340.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.1,5w-30,5.2,340000.0,,euro 3
Dodge,EBA,2006-2009,1798.0,148.0,169.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,4.3,220000.0,,euro 4
Dodge,ECB,1994-2005,1996.0,132.0,176.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.8,5w-30,4.3,275000.0,,euro 3
Dodge,EDV,2002-2009,2429.0,225.0,335.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,8.1,5w-30,4.7,200000.0,,euro 3/4
Dodge,EGS,2006-2011,3952.0,260.0,360.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.3,5w-30,5.2,310000.0,,euro 3
Jeep,EHB,2013-,3239.0,275.0,325.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.7,5w-30,5.6,320000.0,,euro 5
Dodge,ECN,2006-2016,1998.0,158.0,191.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,4.3,250000.0,,euro 4
Chrysler,EGE,1992-1997,3518.0,215.0,300.0,Benzin,V,6.0,Dökme Demir,Hayır (Atmosferik),10.4,5w-30,5.3,300000.0,,euro 2
Dodge,ED4,2007-2009,2360.0,285.0,359.0,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,8.6,5w-30,4.3,230000.0,,euro 4
Chrysler,EDT,2002-2009,2429.0,182.0,285.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,8.1,5w-30,4.7,220000.0,,euro 3/4
Dodge,EGW,1997-2001,3231.0,225.0,305.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.1,5w-30,5.2,320000.0,,euro 3
Chrysler,EDZ,1995-2010,2429.0,144.5,220.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.4,"5w-30, 5w-40",5.5,500000.0,,euro 3/4
Jeep,ED6,2012-,2360.0,180.0,237.5,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.0,5w-20,5.2,250000.0,,euro 5/6
Dodge,EZA,2003-2009,5654.0,340.0,505.0,Benzin,,,,Hayır (Atmosferik),9.5,5w-30,6.7,400000.0,,euro 2
Dodge,ECH,1999-2004,1996.0,150.0,183.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.8,5w-30,4.3,260000.0,,euro 3
Chrysler,ENJ,2000-2007,2499.0,141.0,340.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,17.5,5w-30,6.0,300000.0,,euro 3
Dodge,EZH,2008-,5654.0,375.0,540.0,Benzin,,,,Hayır (Atmosferik),10.3,5w-30,6.7,350000.0,,euro 4
Chrysler,EGA,1989 &#8211; 2000,3301.0,156.0,260.0,Benzin,V,6.0,Dökme Demir,Hayır (Atmosferik),8.9,5w-30,4.0,400000.0,,euro 2/3
Chrysler,EGN,2003 &#8211; 2006,3518.0,253.0,340.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.1,5w-30,5.2,320000.0,,euro 3
Jeep,EHD,2014-,2997.0,235.0,295.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.2,5w-30,5.6,300000.0,,euro 5
Chrysler,ECC,1994-2005,1996.0,145.0,180.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.6,5w-30,4.3,270000.0,,euro 3
Chrysler,EJD,2000-2010,1598.0,116.0,157.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.5,5w-30,4.3,300000.0,,euro 3
Chrysler,EER,1997-2010,2736.0,197.5,260.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.7,5w-30,5.4,330000.0,,euro 3/4
Dodge,EGH,1990 &#8211; 2000,3778.0,165.0,307.5,Benzin,V,6.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,4.0,420000.0,,euro 2/3
Chrysler,EBD,1994-1999,1796.0,115.0,152.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.0,5w-30,4.3,250000.0,,euro 3
Jeep,ENC,1991-2001,2499.0,115.0,270.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,21.0,5w-30,6.8,250000.0,,euro 1
Dodge,ESG,2010-,6407.0,477.5,640.0,Benzin,,,,Hayır (Atmosferik),10.9,5w-30,6.7,380000.0,,euro 4
Dodge,ED3,2006-,2360.0,172.5,222.5,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,4.3,260000.0,,euro 4
Chrysler,EGQ,2006-2010,3952.0,252.5,352.5,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.3,5w-30,5.3,330000.0,,euro 3
Chrysler,EZB,2004-2008,5654.0,335.0,515.0,Benzin,,,,Hayır (Atmosferik),9.6,5w-20,6.7,375000.0,,euro 3
Chrysler,ERB,2010-,3604.0,295.0,355.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.2,5w-30,5.6,330000.0,,euro 4
Mercedes - Benz,OM460LA,,12816.0,435.0,,Dizel,,,,Bilinmiyor,18.0,,,,939.0,euro 5
Mercedes - Benz,OM926LA,1998,7201.0,312.5,,Dizel,,,,Bilinmiyor,,,,,530.0,euro 4
Mercedes - Benz,OM470,2003,10700.0,,,Dizel,,,,Bilinmiyor,18.5,,,,956.0,euro 6
Mercedes - Benz,OM352,1964-01-01 00:00:00,5675.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM642,2005-03-01 00:00:00,2987.0,,,Dizel,,,,Bilinmiyor,18.0,,,,,euro-4
Mercedes - Benz,OM364,1986-04-01 00:00:00,3972.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM471,2011,12800.0,476.0,,Dizel,,,,Bilinmiyor,18.3,,,,1045.0,euro 6
Mercedes - Benz,OM402,1990-12-01 00:00:00,12763.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 1
Mercedes - Benz,OM636,1949,1732.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM421,10.1981,10964.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM403,1974-05-01 00:00:00,15900.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM443,1987-88,18273.0,,,Dizel,,,,Bilinmiyor,16.9,,,,,euro 2
Mercedes - Benz,OM924LA,2004-10-01 00:00:00,4801.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 3
Mercedes - Benz,OM401,1975,9572.0,313.0,,Dizel,,,,Bilinmiyor,16.75,,,,,euro ii
Mercedes - Benz,OM427,,11970.0,,,Dizel,,,,Bilinmiyor,16.25,,,,,
Mercedes - Benz,OM362,2.1983,5700.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D12A340,1993-08-01 00:00:00,12100.0,,,Dizel,,,,Bilinmiyor,,,,,,
DAF,RS 222,,8650.0,,,Dizel,,,,Bilinmiyor,,,,,,
DAF,RS 200,,8650.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM446,1987,14618.0,455.5,,Dizel,,,,Bilinmiyor,,,,,,euro-1
Mercedes - Benz,OM936,,7698.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 6
Mercedes - Benz,OM441,,10964.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM326,1.1961,10809.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM346,1.1964,10809.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM611,,2151.0,,,Dizel,,,,Bilinmiyor,22.0,,,,,
Mercedes - Benz,OM601,1988-10-01 00:00:00,2299.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM648,,3222.0,,,Dizel,,,,Bilinmiyor,18.0,,,,,
Mercedes - Benz,OM647,,2685.0,,,Dizel,,,,Bilinmiyor,18.0,,,,,
Mercedes - Benz,OM622,,1598.0,,,Dizel,,,,Bilinmiyor,15.4,,,,,
Mercedes - Benz,OM613,,3226.0,,470.0,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,M271 E18 ML/AL,2002,1796.0,157.0,,Benzin,,,,Bilinmiyor,9.0,0w-30 / 0w-40 / 5w-30 / 5w-40,5.5,,,euro 5
Mercedes - Benz,OM501LA,,11946.0,370.5,,,,,,Bilinmiyor,,,31.0,,885.0,euro 3
Mercedes - Benz,OM457LA,,11967.0,,,Dizel,,,,Bilinmiyor,18.5,,,,1045.0,euro 5
Opel,Z18XER,2005-2010,1796.0,140.0,175.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.5,5w-30 / 5w-40 / 0w-30 / 0w-40,4.5,350000.0,120.0,euro 4
Mercedes - Benz,OM502LA,,15928.0,554.0,,Dizel,,,,Bilinmiyor,,,,,1125.0,"euro 4, euro 5"
Mercedes - Benz,OM904LA,,4249.0,,,,,,,Bilinmiyor,17.4,,,,,
Mercedes - Benz,OM366LA,,5958.0,,,,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM422,,14618.0,263.0,,,,,,Bilinmiyor,16.9,,20.75,,900.0,euro 2
Mercedes - Benz,OM603,,2996.0,,,Dizel,,,,Bilinmiyor,22.0,,,,,
Mercedes - Benz,OM640,,1991.0,95.5,,Dizel,,,,Bilinmiyor,18.0,,,,,euro 4
Mercedes - Benz,OM602,,2497.0,,,Dizel,,,,Bilinmiyor,22.0,,,,,
Mercedes - Benz,OM606,,2996.0,,,Dizel,,,,Bilinmiyor,22.0,,,,,
Mercedes - Benz,OM629,,3996.0,,715.0,Dizel,,,,Bilinmiyor,,,,,,euro 4
Mercedes - Benz,OM607,,1461.0,,,Dizel,,,,Bilinmiyor,15.5,,,,,euro 5
Mercedes - Benz,OM668,,1689.0,,,Dizel,,,,Bilinmiyor,,,,,,
Mercedes - Benz,OM605,,2497.0,,,Dizel,,,,Bilinmiyor,22.0,,,,,
DAF,GR220,2006-03-01 00:00:00,6691.0,,1100.0,Dizel,,,,Bilinmiyor,,,,,,euro 4
Mercedes - Benz,OM604,,2155.0,84.0,,Dizel,,,,Bilinmiyor,22.0,,,,,euro 2/3
Mercedes - Benz,M104 E32,1991-1998,3199.0,225.5,,Benzin,,,,Bilinmiyor,9.2,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,7.5,,,
Mercedes - Benz,M103 E26,1985-1993,2599.0,160.0,,Benzin,,,,Bilinmiyor,9.2,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,6.0,,,—
Mercedes - Benz,M112 E26,2000-2006,2597.0,,,Benzin,,,,Bilinmiyor,11.0,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,8.0,,,euro 4
Mercedes - Benz,M272 KE25,2005-2011,2496.0,204.0,,Benzin,,,,Bilinmiyor,11.2,0w-30 / 0w-40 / 5w-30 / 5w-40,8.0,,,euro 5
Mercedes - Benz,M272 KE30,2004-2013,2996.0,231.0,,Benzin,,,,Bilinmiyor,11.3,0w-30 / 0w-40 / 5w-30 / 5w-40,8.0,,,euro 5
Mercedes - Benz,M272 KE/DE 35,2004-2013,3498.0,,,Benzin,,,,Bilinmiyor,,0w-30 / 0w-40 / 5w-30 / 5w-40,8.0,,,euro 6
Mercedes - Benz,M273 E55/E46,,4663.0,340.0,,,,,,Bilinmiyor,,,,,,
Mercedes - Benz,M113 E50,1998-2011,4966.0,,,Benzin,,,,Bilinmiyor,10.0,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,8.0,,,euro 4
Mercedes - Benz,M119 E50,1989-1998,4973.0,,,Benzin,,,,Bilinmiyor,,0w-30 / 0w-40 / 5w-30 / 5w-40 / 5w-50 / 10w-40 / 10w-50 / 15w-40 / 15w-50,8.0,,,euro 1
Mercedes - Benz,M271 E16 ML,2008-2011,1597.0,142.5,,Benzin,,,,Bilinmiyor,10.3,0w-30 / 0w-40 / 5w-30 / 5w-40,5.5,,,euro 5
Volvo,D4A140,,4000.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 2
Honda,J37A,2006-2014,3664.0,300.0,370.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.3,320000.0,210.0,euro 4/5
